se_id,measurement_id,org_id,project_id,measure,created_by,updated_by,created_at,updated_at,deleted_at
1277,137,2,2,392,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1277,138,2,2,78,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1277,139,2,2,52,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1277,140,2,2,39.52,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1277,141,2,2,28.15,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1277,146,2,2,36.52,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1277,147,2,2,25,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1278,137,2,2,397,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1278,138,2,2,83,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1278,139,2,2,49,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1278,140,2,2,39.43,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1278,141,2,2,29.79,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1278,146,2,2,35.61,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1278,147,2,2,24.33,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1278,148,2,2,35.69,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1279,155,2,2,17.96,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1279,156,2,2,9.85,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1280,39,2,2,159,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1280,44,2,2,22.27,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1280,45,2,2,14.96,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1280,46,2,2,10.3,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1280,47,2,2,19.79,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1281,39,2,2,151,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1281,44,2,2,22.1,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1281,45,2,2,22.52,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1281,46,2,2,16.19,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1281,47,2,2,22.45,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1284,102,2,2,159,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1284,105,2,2,62.49,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1284,115,2,2,35.2,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1284,116,2,2,11.85,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1284,117,2,2,57.89,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1311,101,2,2,215,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1311,105,2,2,60.79,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1311,115,2,2,35.28,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1311,116,2,2,11.84,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1311,117,2,2,56.55,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,53,2,2,368,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,54,2,2,66,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,55,2,2,48.94,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,56,2,2,23.62,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,57,2,2,18.48,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,58,2,2,47.82,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,59,2,2,44.9,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,60,2,2,17.69,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1312,61,2,2,25.2,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,53,2,2,366,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
1313,54,2,2,66,System,System,2018-04-29 18:52:32,2018-04-29 18:52:32,
